Dataset,Owner,Create Date,Last Modified Date,KB,MB,GB
ANU_ADM_ENRT_2015,d1p3,2016-04-19,2016-04-19,364928,356.38,0.348
ANU_ADM_POP_READM_ETH_MSA_2015,d1p3,2016-04-19,2016-04-19,125832,122.88,0.12
ANU_ADM_ZIP_ALL_2015,d1p3,2016-04-19,2016-04-19,7544,7.37,0.007
ANU_CAUTI_CLAIMS_SUM_POA_N,d1p3,2013-10-14,2013-10-14,136,0.13,0
ANU_CDI_CLAIMS_SUM_POA_N,d1p3,2015-01-09,2015-01-09,584,0.57,0.001
ANU_CLABSI_CLAIMS_SUM_POA_N,d1p3,2015-01-09,2015-01-09,72,0.07,0
ANU_CNSR_PROG,d1p3,2014-05-08,2014-05-08,108504,105.96,0.103
ANU_CTM_2014,d1p3,2014-08-22,2014-08-22,1096,1.07,0.001
ANU_CTM_2014_MBRS,d1p3,2014-08-27,2014-08-27,584,0.57,0.001
ANU_CTM_ANAL_MBRS,d1p3,2014-08-28,2014-08-28,776,0.76,0.001
ANU_CTM_ANAL_POP,d1p3,2014-09-05,2014-09-05,170504,166.51,0.163
ANU_CTM_ANAL_POP2,d1p3,2014-09-10,2014-09-10,170504,166.51,0.163
ANU_CTM_ANAL_POP3,d1p3,2014-09-19,2014-09-19,175176,171.07,0.167
ANU_CTM_ANAL_POP4,d1p3,2014-09-19,2014-09-19,188104,183.7,0.179
ANU_CTM_ANAL_POP5,d1p3,2014-09-17,2014-09-17,190856,186.38,0.182
ANU_CTM_ANAL_POP6,d1p3,2014-09-19,2014-09-19,190856,186.38,0.182
ANU_CTM_ANAL_POP7,d1p3,2014-09-22,2014-09-22,193800,189.26,0.185
ANU_CTM_ANAL_POP8,d1p3,2014-10-19,2014-10-19,132232,129.13,0.126
ANU_CTM_CNSR_ID,f6n9,2014-09-18,2014-09-18,7176,7.01,0.007
ANU_CTM_DEMOG4,d1p3,2014-08-27,2014-08-27,648,0.63,0.001
ANU_ERG_COSTS,d1p3,2013-05-17,2013-05-17,57488,56.14,0.055
ANU_ERG_COSTS_FULL_ELIG,d1p3,2013-05-21,2013-05-21,46104,45.02,0.044
ANU_ERG_COSTS_FULL_ELIG_RISKS,d1p3,2013-07-18,2013-07-18,57456,56.11,0.055
ANU_ERG_COSTS_FULL_ELIG_RISKS2,d1p3,2013-07-18,2013-07-18,69016,67.4,0.066
ANU_ERG_ELIG_RISKS2012,d1p3,2013-07-19,2013-07-19,80408,78.52,0.077
ANU_ERG_HLT_BEN,d1p3,2013-05-21,2013-05-21,81776,79.86,0.078
ANU_ERG_RX_BEN,d1p3,2013-05-21,2013-05-21,156064,152.41,0.149
ANU_ESRD_INST,d1p3,2013-06-26,2013-06-26,38472,37.57,0.037
ANU_ESRD_MBRS,d1p3,2013-06-26,2013-06-26,56,0.05,0
ANU_ESRD_MBRS_ALL,d1p3,2013-06-28,2013-06-28,96,0.09,0
ANU_ESRD_PROF,d1p3,2013-06-26,2013-06-26,183568,179.27,0.175
ANU_HAI_INFECTIONS5,d1p3,2015-01-09,2015-01-09,56,0.05,0
ANU_HRM_PROG_EXCL,d1p3,2013-06-21,2013-06-21,4488,4.38,0.004
ANU_HYPERTENSION,d1p3,2013-06-25,2013-06-25,2572088,2511.8,2.453
ANU_HYPER_AGE,d1p3,2013-06-26,2013-06-26,74784,73.03,0.071
ANU_HYPER_AGE_18_64,d1p3,2013-06-26,2013-06-26,34400,33.59,0.033
ANU_HYPER_ALL_PROD,d1p3,2013-06-27,2013-06-27,494104,482.52,0.471
ANU_HYPER_CASES,d1p3,2013-06-28,2013-06-28,7400,7.23,0.007
ANU_HYPER_CASES_ALL,d1p3,2013-06-28,2013-06-28,9784,9.55,0.009
ANU_HYPER_COMMERCIAL,d1p3,2013-06-26,2013-06-26,414040,404.34,0.395
ANU_HYPER_FINAL,d1p3,2013-06-27,2013-06-27,334736,326.89,0.319
ANU_HYPER_FINAL2,d1p3,2013-06-28,2013-06-28,334736,326.89,0.319
ANU_HYPER_FINAL_ALL,d1p3,2013-06-28,2013-06-28,741152,723.78,0.707
ANU_HYPER_PREV_RATES,d1p3,2013-06-27,2013-06-27,1344,1.31,0.001
ANU_HYPER_PREV_RATES_COMM,d1p3,2013-06-28,2013-06-28,1344,1.31,0.001
ANU_HYPER_PREV_RATES_COMM_AGE,d1p3,2013-06-28,2013-06-28,3128,3.05,0.003
ANU_HYPER_PREV_RATES_MA,d1p3,2013-06-28,2013-06-28,128,0.13,0
ANU_HYPER_UNIQ_YRMO,d1p3,2013-06-25,2013-06-25,40,0.04,0
ANU_HYP_ALL_ENRT,d1p3,2013-06-27,2013-06-27,49912,48.74,0.048
ANU_HYP_CONT_ENRT,d1p3,2013-06-26,2013-06-26,37704,36.82,0.036
ANU_HYP_ELIG_POP,d1p3,2013-06-26,2013-06-26,329048,321.34,0.314
ANU_HYP_ELIG_POP_ALL,d1p3,2013-06-27,2013-06-27,719984,703.11,0.687
ANU_HYP_ELIG_POP_NOPREG_ESRD,d1p3,2013-06-28,2013-06-28,323288,315.71,0.308
ANU_HYP_ELIG_POP_NOPREG_ESRD_ALL,d1p3,2013-06-28,2013-06-28,710888,694.23,0.678
ANU_HYP_ELIG_POP_PREG_ESRD_ALL,d1p3,2013-06-28,2013-06-28,719984,703.11,0.687
ANU_HYP_ZIP,d1p3,2013-06-26,2013-06-26,173792,169.72,0.166
ANU_HYP_ZIP_ALL,d1p3,2013-06-27,2013-06-27,173792,169.72,0.166
ANU_ID_STRAT_PROJ_ALLMBRS,d1p3,2013-07-16,2013-07-16,1591784,1554.48,1.518
ANU_ID_STRAT_PROJ_ALLMBRS2,d1p3,2013-07-16,2013-07-16,1591784,1554.48,1.518
ANU_ID_STRAT_PROJ_ALLPG_FEP,d1p3,2013-07-17,2013-07-17,1560008,1523.45,1.488
ANU_ID_STRAT_PROJ_ALLPROG,d1p3,2013-07-17,2013-07-17,1541864,1505.73,1.47
ANU_ID_STRAT_PROJ_PROG,d1p3,2013-07-16,2013-07-16,1524152,1488.43,1.454
ANU_INP_RISK,d1p3,2013-10-15,2013-10-15,5136,5.02,0.005
ANU_NCQA_CATEGORIES,f6n9,2013-12-13,2013-12-13,642264,627.21,0.613
ANU_NCQA_CATEGORIES_MON,f6n9,2013-12-13,2013-12-13,16,0.02,0
ANU_NCQA_PF,d1p3,2015-09-23,2015-09-23,24,0.02,0
ANU_NICU_INST_PROF,d1p3,2013-06-13,2013-06-13,152,0.15,0
ANU_NICU_INST_PROF_RX,d1p3,2013-06-13,2013-06-13,176,0.17,0
ANU_NICU_INST_PROF_RX2,d1p3,2013-06-13,2013-06-13,176,0.17,0
ANU_NICU_INST_PROF_RX_ANC,d1p3,2013-06-13,2013-06-13,176,0.17,0
ANU_NICU_INST_PROF_RX_ANC2,d1p3,2013-06-13,2013-06-13,176,0.17,0
ANU_NICU_MATCHES_NEW,d1p3,2013-05-16,2013-05-16,176,0.17,0
ANU_NICU_PROF_30D,d1p3,2013-06-11,2013-06-11,600,0.59,0.001
ANU_POA_CLAIMS,d1p3,2013-10-08,2013-10-08,49688,48.52,0.047
ANU_POA_UTI_CLAIMS,d1p3,2013-10-08,2013-10-08,10288,10.05,0.01
ANU_PREG_INST,d1p3,2013-06-26,2013-06-26,31240,30.51,0.03
ANU_PREG_MBRS,d1p3,2013-06-26,2013-06-26,296,0.29,0
ANU_PREG_MBRS_ALL,d1p3,2013-06-28,2013-06-28,576,0.56,0.001
ANU_PREG_PROF,d1p3,2013-06-26,2013-06-26,215728,210.67,0.206
ANU_READM_ENRT_CHECK_NEW,d1p3,2016-04-19,2016-04-19,328,0.32,0
ANU_READM_NON_EXP,d1p3,2013-07-25,2013-07-25,13032,12.73,0.012
ANU_READM_NON_EXP_2014,d1p3,2016-04-13,2016-04-13,37672,36.79,0.036
ANU_READM_NON_EXP_2014_15,d1p3,2016-04-19,2016-04-19,48888,47.74,0.047
ANU_READM_NON_EXP_PRIOR,d1p3,2013-10-04,2013-10-04,2008,1.96,0.002
ANU_READM_PRIOR,d1p3,2013-09-10,2013-09-10,105864,103.38,0.101
ANU_READM_PRIOR_2015,d1p3,2016-05-07,2016-05-07,394952,385.7,0.377
ANU_READM_PRIOR_2015_BRETT,d1p3,2016-06-03,2016-06-03,1027912,1003.82,0.98
ANU_READM_RX_PRIOR,d1p3,2013-10-03,2013-10-03,103048,100.63,0.098
ANU_READM_RX_PRIOR_2015,d1p3,2016-05-08,2016-05-08,394952,385.7,0.377
ANU_READM_RX_PRIOR_2015_BRETT,d1p3,2016-06-03,2016-06-03,1027912,1003.82,0.98
ANU_RISK_STRAT_2013,d1p3,2014-05-08,2014-05-08,140912,137.61,0.134
ANU_SSI_CLAIMS_SUM_POA_N,d1p3,2015-01-09,2015-01-09,456,0.45,0
ANU_SSI_INST,d1p3,2013-08-08,2013-08-08,81096,79.2,0.077
ANU_SSI_MEDIAS_CLAIMS_SUM_POA_N,d1p3,2013-10-14,2013-10-14,72,0.07,0
ANU_SSI_ORTHO_CLAIMS_SUM_POA_N,d1p3,2013-10-14,2013-10-14,456,0.45,0
ANU_SSI_PROF,d1p3,2013-08-08,2013-08-08,157960,154.26,0.151
ANU_UTI_CATHETER,d1p3,2013-10-09,2013-10-09,392,0.38,0
ANU_UTI_CLAIMS_SUM,d1p3,2013-10-09,2013-10-09,3144,3.07,0.003
ANU_UTI_CLAIMS_SUM_ALLDX,d1p3,2013-10-10,2013-10-10,5216,5.09,0.005
ANU_UTI_CLAIMS_SUM_POA_N,d1p3,2015-01-09,2015-01-09,2312,2.26,0.002
ANU_UTI_CLAIMS_SUM_POA_Y,d1p3,2013-10-10,2013-10-10,4544,4.44,0.004
ANU_UTI_INST,d1p3,2013-08-08,2013-08-08,1036680,1012.38,0.989
ANU_UTI_INST_CATHETER,d1p3,2013-10-07,2013-10-07,2824,2.76,0.003
ANU_UTI_INST_PRIMDX,d1p3,2013-10-07,2013-10-07,469704,458.7,0.448
ANU_UTI_INST_SECDX,d1p3,2013-10-07,2013-10-07,571464,558.07,0.545
ANU_UTI_PROF,d1p3,2013-08-08,2013-08-08,4168008,4070.32,3.975
ANU_VAP_CLAIMS_SUM_POA_N,d1p3,2015-01-09,2015-01-09,72,0.07,0
APPEALS_2014,d1p3,2015-03-12,2015-03-12,4048,3.95,0.004
ASO_AUTHS_CM_DM,d1p3,2015-03-12,2015-03-12,40000,39.06,0.038
ASO_AUTHS_CM_DM_APP,d1p3,2015-03-12,2015-03-12,51328,50.13,0.049
AUTHS_JIVA,f3s3,2016-03-07,2016-03-07,327240,319.57,0.312
BABYMOMHRMP2_ANU,d1p3,2013-06-21,2013-06-21,5128,5.01,0.005
BB_ADD_CHRONIC_010715,d1p3,2015-01-07,2015-01-07,1352,1.32,0.001
BB_ADD_CHRONIC_020515,d1p3,2015-02-05,2015-02-05,1352,1.32,0.001
BB_ADD_CHRONIC_041115,d1p3,2015-04-13,2015-04-13,1736,1.7,0.002
BB_ADD_CHRONIC_051715,d1p3,2015-06-15,2015-06-15,2184,2.13,0.002
BB_ADD_CHRONIC_071015,d1p3,2015-07-11,2015-07-11,2376,2.32,0.002
BB_ADD_CHRONIC_080114,f3a9,2014-08-01,2014-08-01,200,0.2,0
BB_ADD_CHRONIC_080214,f3a9,2014-08-03,2014-08-03,2312,2.26,0.002
BB_ADD_CHRONIC_081415,d1p3,2015-08-14,2015-08-14,2568,2.51,0.002
BB_ADD_CHRONIC_091915,d1p3,2015-09-19,2015-09-19,2568,2.51,0.002
BB_ADD_CHRONIC_102414,f3a9,2014-10-24,2014-10-24,840,0.82,0.001
BB_ADD_CHRONIC_110714,f3a9,2014-11-07,2014-11-07,904,0.88,0.001
BB_ADD_CHRONIC_112114,f3a9,2014-11-21,2014-11-21,1032,1.01,0.001
BB_ADD_CHRONIC_120514,f3a9,2014-12-05,2014-12-05,1096,1.07,0.001
BB_ADD_CHRONIC_121714,f3a9,2014-12-18,2014-12-18,1224,1.2,0.001
BB_ADD_CHRONIC_TEST,f3a9,2014-07-29,2014-07-29,72,0.07,0
BB_DISCHARGES_010715,d1p3,2015-01-07,2015-01-07,80,0.08,0
BB_DISCHARGES_020515,d1p3,2015-02-05,2015-02-05,80,0.08,0
BB_DISCHARGES_041115,d1p3,2015-04-11,2015-04-11,128,0.13,0
BB_DISCHARGES_051715,d1p3,2015-06-14,2015-06-14,160,0.16,0
BB_DISCHARGES_071015,d1p3,2015-07-10,2015-07-10,176,0.17,0
BB_DISCHARGES_080114,f3a9,2014-08-01,2014-08-01,16,0.02,0
BB_DISCHARGES_080214,f3a9,2014-08-01,2014-08-01,152,0.15,0
BB_DISCHARGES_081415,d1p3,2015-08-14,2015-08-14,192,0.19,0
BB_DISCHARGES_091915,d1p3,2015-09-19,2015-09-19,192,0.19,0
BB_DISCHARGES_102414,f3a9,2014-10-24,2014-10-24,56,0.05,0
BB_DISCHARGES_110714,f3a9,2014-11-07,2014-11-07,56,0.05,0
BB_DISCHARGES_112114,f3a9,2014-11-21,2014-11-21,64,0.06,0
BB_DISCHARGES_120514,f3a9,2014-12-05,2014-12-05,72,0.07,0
BB_DISCHARGES_121714,f3a9,2014-12-17,2014-12-17,72,0.07,0
BB_EXCLUDE_DIAG_010715,d1p3,2015-01-07,2015-01-07,5448,5.32,0.005
BB_EXCLUDE_DIAG_020515,d1p3,2015-02-05,2015-02-05,5832,5.7,0.006
BB_EXCLUDE_DIAG_041115,d1p3,2015-04-12,2015-04-12,7304,7.13,0.007
BB_EXCLUDE_DIAG_051715,d1p3,2015-05-18,2015-06-14,18504,18.07,0.018
BB_EXCLUDE_DIAG_071015,d1p3,2015-07-10,2015-07-10,10376,10.13,0.01
BB_EXCLUDE_DIAG_080114,f3a9,2014-08-01,2014-08-01,520,0.51,0
BB_EXCLUDE_DIAG_080214,f3a9,2014-08-02,2014-08-02,9416,9.2,0.009
BB_EXCLUDE_DIAG_081415,d1p3,2015-08-14,2015-08-14,11080,10.82,0.011
BB_EXCLUDE_DIAG_091915,d1p3,2015-09-19,2015-09-19,11528,11.26,0.011
BB_EXCLUDE_DIAG_102414,f3a9,2014-10-24,2014-10-24,3208,3.13,0.003
BB_EXCLUDE_DIAG_110714,f3a9,2014-11-07,2014-11-07,3400,3.32,0.003
BB_EXCLUDE_DIAG_112114,f3a9,2014-11-21,2014-11-21,3848,3.76,0.004
BB_EXCLUDE_DIAG_120514,f3a9,2014-12-05,2014-12-05,4296,4.2,0.004
BB_EXCLUDE_DIAG_121714,f3a9,2014-12-17,2014-12-17,4872,4.76,0.005
BB_EXCLUDE_DIAG_TEST,f3a9,2014-07-29,2014-07-29,200,0.2,0
BB_NONCOMPLIANT_,d1p3,2015-06-15,2015-06-15,40,0.04,0
BB_NONCOMPLIANT_010715,d1p3,2015-01-07,2015-01-07,72,0.07,0
BB_NONCOMPLIANT_020515,d1p3,2015-02-05,2015-02-05,136,0.13,0
BB_NONCOMPLIANT_041115,d1p3,2015-04-13,2015-04-13,264,0.26,0
BB_NONCOMPLIANT_051715,d1p3,2015-06-15,2015-06-15,136,0.13,0
BB_NONCOMPLIANT_071015,d1p3,2015-07-13,2015-07-13,200,0.2,0
BB_NONCOMPLIANT_071914,f3a9,2014-12-06,2014-12-06,48,0.05,0
BB_NONCOMPLIANT_080114,f3a9,2014-08-03,2014-08-03,72,0.07,0
BB_NONCOMPLIANT_080214,f3a9,2014-08-03,2014-08-03,72,0.07,0
BB_NONCOMPLIANT_081415,d1p3,2015-08-14,2015-08-14,200,0.2,0
BB_NONCOMPLIANT_081514,f3a9,2014-12-06,2014-12-06,64,0.06,0
BB_NONCOMPLIANT_082914,f3a9,2014-12-06,2014-12-06,56,0.05,0
BB_NONCOMPLIANT_091214,f3a9,2014-12-06,2014-12-06,56,0.05,0
BB_NONCOMPLIANT_091915,d1p3,2015-09-21,2015-09-21,72,0.07,0
BB_NONCOMPLIANT_092614,f3a9,2014-12-06,2014-12-06,64,0.06,0
BB_NONCOMPLIANT_101014,f3a9,2014-12-06,2014-12-06,64,0.06,0
BB_NONCOMPLIANT_102414,f3a9,2014-10-25,2014-10-25,72,0.07,0
BB_NONCOMPLIANT_110714,f3a9,2014-11-07,2014-11-07,72,0.07,0
BB_NONCOMPLIANT_112114,f3a9,2014-11-21,2014-11-21,72,0.07,0
BB_NONCOMPLIANT_120514,f3a9,2014-12-06,2014-12-06,136,0.13,0
BB_NONCOMPLIANT_121714,f3a9,2014-12-18,2014-12-18,72,0.07,0
BB_RXCONLD_010715,d1p3,2015-01-07,2015-01-07,2344,2.29,0.002
BB_RXCONLD_020515,d1p3,2015-02-05,2015-02-05,1544,1.51,0.001
BB_RXCONLD_041115,d1p3,2015-04-12,2015-04-12,2472,2.41,0.002
BB_RXCONLD_051715,d1p3,2015-06-14,2015-06-14,3600,3.52,0.003
BB_RXCONLD_071015,d1p3,2015-07-10,2015-07-10,4008,3.91,0.004
BB_RXCONLD_080114,f3a9,2014-08-01,2014-08-01,128,0.13,0
BB_RXCONLD_080214,f3a9,2014-08-02,2014-08-02,5264,5.14,0.005
BB_RXCONLD_081415,d1p3,2015-08-14,2015-08-14,4528,4.42,0.004
BB_RXCONLD_091915,d1p3,2015-09-19,2015-09-19,4824,4.71,0.005
BB_RXCONLD_102414,f3a9,2014-10-24,2014-10-24,992,0.97,0.001
BB_RXCONLD_110714,f3a9,2014-11-07,2014-11-07,1152,1.13,0.001
BB_RXCONLD_112114,f3a9,2014-11-21,2014-11-21,1464,1.43,0.001
BB_RXCONLD_120514,f3a9,2014-12-05,2014-12-05,1720,1.68,0.002
BB_RXCONLD_121714,f3a9,2014-12-17,2014-12-17,2016,1.97,0.002
BB_RXCONLD_TEST,f3a9,2014-07-29,2014-07-29,40,0.04,0
BWA_ER_NYU,d1p3,2011-09-19,2011-09-19,16,0.02,0
BWA_ER_NYU_2011,d1p3,2011-09-20,2011-09-20,16,0.02,0
CAC_SUMMARY_HD_ALINEO,d1p3,2011-03-28,2011-03-28,104,0.1,0
CAC_SUM_HD_ALINEO_CMCA,d1p3,2011-03-28,2011-03-28,104,0.1,0
CAC_SUM_HD_ALINEO_CMCA_PCT,d1p3,2011-03-28,2011-03-28,104,0.1,0
CAREGAPS_ID_BYGROUP_BYENG,d1p3,2012-04-24,2012-04-24,968,0.95,0.001
CAREGAPS_ID_BYGROUP_BYENG2,d1p3,2012-04-24,2012-04-24,968,0.95,0.001
CAREGAPS_ID_BYGROUP_BYENG2_Q112,d1p3,2012-04-24,2012-04-24,1048,1.02,0.001
CAREGAPS_ID_BYGROUP_BYENG3,d1p3,2012-04-24,2012-04-24,840,0.82,0.001
CAREGAPS_ID_BYGROUP_BYENG4,d1p3,2012-04-24,2012-04-24,1112,1.09,0.001
CAREGAPS_ID_BYGROUP_BYENG4_Q112,d1p3,2012-04-24,2012-04-24,1192,1.16,0.001
CAREGAPS_ID_BYGROUP_BYENG4_S,d1p3,2012-04-24,2012-04-24,1112,1.09,0.001
CAREGAPS_ID_BYGROUP_BYENG_Q12012,d1p3,2012-04-24,2012-04-24,1048,1.02,0.001
CAREGAPS_ID_BYGRP_BYENG4_S_Q112,d1p3,2012-04-24,2012-04-24,1192,1.16,0.001
CARE_GAPS_201501,d1p3,2015-03-31,2015-03-31,24,0.02,0
CCM_MBRS_MEASURES,d1p3,2015-12-18,2015-12-18,641576,626.54,0.612
CCR_AUTHS,d1p3,2014-09-30,2014-09-30,7616,7.44,0.007
CCR_SAVINGS_COMM,d1p3,2015-10-09,2015-10-09,328712,321.01,0.313
CCR_SERVICE,d1p3,2016-07-13,2016-07-13,38600,37.7,0.037
CCR_SERVICE_201503,d1p3,2015-04-11,2015-04-11,41864,40.88,0.04
CCR_SERVICE_201505,d1p3,2015-06-15,2015-06-15,65224,63.7,0.062
CCR_SERVICE_201506,e8yf,2015-07-11,2015-07-11,77256,75.45,0.074
CCR_SERVICE_201507,e8yf,2015-08-11,2015-08-11,89224,87.13,0.085
CCR_SERVICE_201509,e8yf,2015-10-16,2015-10-16,112392,109.76,0.107
CCR_SERVICE_201510,e8yf,2015-11-19,2015-11-19,123848,120.95,0.118
CCR_SERVICE_201511,e8yf,2015-12-21,2015-12-21,134536,131.38,0.128
CCR_SERVICE_201512,e8yf,2016-02-02,2016-02-02,145864,142.45,0.139
CCR_SERVICE_201601,e8yf,2016-02-24,2016-02-24,22920,22.38,0.022
CCR_SERVICE_201602,f3vc,2016-04-04,2016-04-04,23944,23.38,0.023
CCR_SERVICE_201603,f3s3,2016-07-14,2016-07-14,37384,36.51,0.036
CCR_SERVICE_201604,f3s3,2016-07-14,2016-07-14,50056,48.88,0.048
CCR_SERVICE_KJ,ha05,2015-07-16,2015-07-16,155848,152.2,0.149
CCS_2012_CPT_CODES,d7yp,2012-08-01,2012-08-01,1192,1.16,0.001
CCS_DXLABEL_2015,d7yp,2015-08-04,2015-08-04,32,0.03,0
CCS_DXREF_2015,d7yp,2015-08-04,2015-08-04,904,0.88,0.001
CCS_ICD_9_10_CODES,e8ja,2016-05-31,2016-05-31,2408,2.35,0.002
CCS_PRLABEL_2015,d7yp,2015-08-04,2015-08-04,32,0.03,0
CCS_PRREF_2015,d7yp,2015-08-04,2015-08-04,280,0.27,0
CCT,d1p3,2016-04-01,2016-04-01,17800,17.38,0.017
CCT2,d1p3,2016-04-01,2016-04-01,27992,27.34,0.027
CCT_MATCHES1_ANU,d1p3,2016-05-12,2016-05-12,16,0.02,0
CCT_MATCHES_ANU,d1p3,2016-05-12,2016-05-12,16,0.02,0
CDC_BMI,d1p3,2012-07-17,2012-07-17,1896,1.85,0.002
CDC_BMI_2012,d1p3,2016-01-25,2016-01-25,1928,1.88,0.002
CDC_BMI_2013,d1p3,2016-01-29,2016-01-29,1888,1.84,0.002
CDC_BMI_2014,d1p3,2016-01-29,2016-01-29,2440,2.38,0.002
CDC_BMI_2015,d1p3,2016-01-31,2016-01-31,1896,1.85,0.002
CDC_BMI_RISK,d1p3,2016-01-25,2016-01-25,1200,1.17,0.001
CDC_BMI_RISK_2012,d1p3,2016-01-25,2016-01-25,1200,1.17,0.001
CDC_BMI_RISK_2013,d1p3,2016-01-29,2016-01-29,1200,1.17,0.001
CDC_BMI_RISK_2014,d1p3,2016-01-29,2016-01-29,1200,1.17,0.001
CDC_BMI_RISK_2015,d1p3,2016-01-31,2016-01-31,1200,1.17,0.001
